appinst	0
apptools	27
basemap	124
biopython	980
bitarray	117
blist	267
blockcanvas	24
bsdiff4	0
casuarius	94
chaco	246
cloud	20240
codetools	12
configobj	3425
coverage	20114
curl	19260
Cython	6340
distribute	85747
docutils	4323
enable	76369
enaml	92
encore	72
enstaller	109
envisage	151
EPD	94
epydoc	1927
ets	240
etsdevtools	7
etsproxy	5
feedparser	2054
foolscap	45
freetype	172
fwrap	43
GDAL	1138
graphcanvas	9
grin	50
h5py	137
hdf5	2523
html5lib	2830
idle	2751
ipython	8954
Jinja2	18052
jsonpickle	190
keyring	631
lib_netcdf4	0
libgdal	152
libjpeg	590
libpng	505
libpython	240
libxml2	2425
libxslt	845
libYAML	1154
lxml	11021
matplotlib	6733
mayavi	234
MDP	180
mingw	3058
MKL	44
netCDF4	36
networkx	2427
nose	18998
numexpr	405
numpy	16729
openpyxl	1291
pandas	2784
paramiko	2296
pep8	7056
PIL	13642
ply	1120
pyaudio	93
Pycluster	36
pycrypto	3002
pydot	573
pyface	901
pyfits	231
pyflakes	4105
pygarrayimage	10
pyglet	968
Pygments	9380
pyhdf	2
PyOpenGL	898
pyOpenSSL	3544
pyparsing	1472
pyproj	390
pyserial	1487
PySide	1687
pytables	2122
Python	524440
python_dateutil	0
PythonDoc	10
pytz	4829
pywin32	1851
PyYAML	6606
pyzmq	2737
Qt	5088
Reportlab	1810
scikit_learn	1
scikits.image	191
scikits.timeseries	99
scimath	18
scipy	8491
scite	6
scons	675
Shapely	569
SimPy	72
Sphinx	26491
SQLAlchemy	11075
statsmodels	558
swig	1745
sympy	1162
tornado	23132
traits	1630
traitsui	57
Twisted	13431
VTK	220
wxPython	2913
xlrd	1753
xlwt	1797
zlib	3982
zope.interface	557
