library_name,repo_count,repo_system,followers,TIMESTAMP
appinst,0,github,0,2012-12-02
apptools,15,github,27,2012-12-02
basemap,48,github,124,2012-12-02
biopython,349,github,980,2012-12-02
bitarray,42,github,117,2012-12-02
blist,39,github,267,2012-12-02
blockcanvas,9,github,24,2012-12-02
bsdiff4,0,github,0,2012-12-02
casuarius,21,github,94,2012-12-02
chaco,63,github,246,2012-12-02
cloud,5217,github,20240,2012-12-02
codetools,6,github,12,2012-12-02
configobj,888,github,3425,2012-12-02
coverage,3458,github,20114,2012-12-02
curl,3046,github,19260,2012-12-02
Cython,1228,github,6340,2012-12-02
distribute,18103,github,85747,2012-12-02
docutils,1239,github,4323,2012-12-02
enable,14715,github,76369,2012-12-02
enaml,25,github,92,2012-12-02
encore,44,github,72,2012-12-02
enstaller,34,github,109,2012-12-02
envisage,46,github,151,2012-12-02
EPD,55,github,94,2012-12-02
epydoc,582,github,1927,2012-12-02
ets,89,github,240,2012-12-02
etsdevtools,2,github,7,2012-12-02
etsproxy,4,github,5,2012-12-02
feedparser,588,github,2054,2012-12-02
foolscap,16,github,45,2012-12-02
freetype,93,github,172,2012-12-02
fwrap,14,github,43,2012-12-02
GDAL,313,github,1138,2012-12-02
graphcanvas,2,github,9,2012-12-02
grin,36,github,50,2012-12-02
h5py,55,github,137,2012-12-02
hdf5,542,github,2523,2012-12-02
html5lib,513,github,2830,2012-12-02
idle,710,github,2751,2012-12-02
ipython,2154,github,8954,2012-12-02
Jinja2,3161,github,18052,2012-12-02
jsonpickle,34,github,190,2012-12-02
keyring,229,github,631,2012-12-02
lib_netcdf4,0,github,0,2012-12-02
libgdal,34,github,152,2012-12-02
libjpeg,187,github,590,2012-12-02
libpng,195,github,505,2012-12-02
libpython,73,github,240,2012-12-02
libxml2,610,github,2425,2012-12-02
libxslt,271,github,845,2012-12-02
libYAML,241,github,1154,2012-12-02
lxml,2570,github,11021,2012-12-02
matplotlib,2094,github,6733,2012-12-02
mayavi,83,github,234,2012-12-02
MDP,59,github,180,2012-12-02
mingw,581,github,3058,2012-12-02
MKL,20,github,44,2012-12-02
netCDF4,18,github,36,2012-12-02
networkx,356,github,2427,2012-12-02
nose,3415,github,18998,2012-12-02
numexpr,69,github,405,2012-12-02
numpy,4453,github,16729,2012-12-02
openpyxl,43,github,1291,2012-12-02
pandas,563,github,2784,2012-12-02
paramiko,668,github,2296,2012-12-02
pep8,1317,github,7056,2012-12-02
PIL,3115,github,13642,2012-12-02
ply,271,github,1120,2012-12-02
pyaudio,71,github,93,2012-12-02
Pycluster,7,github,36,2012-12-02
pycrypto,702,github,3002,2012-12-02
pydot,97,github,573,2012-12-02
pyface,175,github,901,2012-12-02
pyfits,116,github,231,2012-12-02
pyflakes,628,github,4105,2012-12-02
pygarrayimage,6,github,10,2012-12-02
pyglet,417,github,968,2012-12-02
Pygments,1536,github,9380,2012-12-02
pyhdf,3,github,2,2012-12-02
PyOpenGL,252,github,898,2012-12-02
pyOpenSSL,556,github,3544,2012-12-02
pyparsing,270,github,1472,2012-12-02
pyproj,76,github,390,2012-12-02
pyserial,524,github,1487,2012-12-02
PySide,433,github,1687,2012-12-02
pytables,367,github,2122,2012-12-02
Python,137654,github,524440,2012-12-02
python_dateutil,0,github,0,2012-12-02
PythonDoc,7,github,10,2012-12-02
pytz,979,github,4829,2012-12-02
pywin32,496,github,1851,2012-12-02
PyYAML,1196,github,6606,2012-12-02
pyzmq,389,github,2737,2012-12-02
Qt,1567,github,5088,2012-12-02
Reportlab,522,github,1810,2012-12-02
scikit_learn,2,github,1,2012-12-02
scikits.image,53,github,191,2012-12-02
scikits.timeseries,28,github,99,2012-12-02
scimath,6,github,18,2012-12-02
scipy,2219,github,8491,2012-12-02
scite,7,github,6,2012-12-02
scons,237,github,675,2012-12-02
Shapely,130,github,569,2012-12-02
SimPy,37,github,72,2012-12-02
Sphinx,5935,github,26491,2012-12-02
SQLAlchemy,2618,github,11075,2012-12-02
statsmodels,137,github,558,2012-12-02
swig,376,github,1745,2012-12-02
sympy,440,github,1162,2012-12-02
tornado,3776,github,23132,2012-12-02
traits,273,github,1630,2012-12-02
traitsui,28,github,57,2012-12-02
Twisted,3216,github,13431,2012-12-02
VTK,101,github,220,2012-12-02
wxPython,1188,github,2913,2012-12-02
xlrd,198,github,1753,2012-12-02
xlwt,166,github,1797,2012-12-02
zlib,637,github,3982,2012-12-02
zope.interface,228,github,557,2012-12-02
